Date	demanda_diaria
2022-01-30	733929031.68
2022-01-31	828395041.56
2022-02-01	850275373.24
2022-02-02	860819178.36
2022-02-03	867736021.8
2022-02-04	868109527.0
2022-02-05	822934680.4000001
2022-02-06	740428105.1999999
2022-02-07	838367901.9200001
2022-02-08	844241415.64
2022-02-09	845888040.76
2022-02-10	846607665.08
2022-02-11	858313787.92
2022-02-12	830234666.12
2022-02-13	758769022.0
2022-02-14	849901029.9200001
2022-02-15	849496203.5600001
2022-02-16	850562819.64
2022-02-17	864614969.1600001
2022-02-18	856899325.0799999
2022-02-19	819359474.4399999
2022-02-20	742788110.9200001
2022-02-21	845095736.56
2022-02-22	862885221.04
2022-02-23	869559530.3199999
2022-02-24	868889962.76
2022-02-25	866208696.6
2022-02-26	826812742.4
2022-02-27	749108232.0
2022-02-28	832031248.12
2022-03-01	846106406.04
2022-03-02	848877837.4
2022-03-03	853565173.36
2022-03-04	859494390.16
2022-03-05	824258140.88
2022-03-06	730319163.72
2022-03-07	835663090.32
2022-03-08	858502599.64
2022-03-09	859315829.08
2022-03-10	859736442.28
2022-03-11	859774870.76
2022-03-12	824437479.5600001
2022-03-13	743641615.64
2022-03-14	853899156.56
2022-03-15	863385977.24
2022-03-16	870524190.68
2022-03-17	869433357.36
2022-03-18	874206020.44
2022-03-19	834113398.2
2022-03-20	755212255.48
2022-03-21	768521435.76
2022-03-22	860912479.5999999
2022-03-23	871054107.3199999
2022-03-24	881652108.32
2022-03-25	885037123.44
2022-03-26	838763262.28
2022-03-27	754805839.92
2022-03-28	841979834.6
2022-03-29	853815914.44
2022-03-30	860330587.4
2022-03-31	866235044.68
2022-04-01	864721078.76
2022-04-02	834743605.12
2022-04-03	763593400.72
2022-04-04	842840399.48
2022-04-05	865720960.96
2022-04-06	882373336.52
2022-04-07	880867512.96
2022-04-08	877643071.32
2022-04-09	845095745.24
2022-04-10	784548171.12
2022-04-11	874147576.8399999
2022-04-12	879987061.76
2022-04-13	862021471.44
2022-04-14	770052913.8
2022-04-15	732757539.2800001
2022-04-16	770738490.52
2022-04-17	740515495.8000001
2022-04-18	849360560.64
2022-04-19	841697959.8
2022-04-20	836793151.92
2022-04-21	845771117.24
2022-04-22	846074359.4
2022-04-23	817334522.64
2022-04-24	760820863.12
2022-04-25	839478714.4
2022-04-26	860370575.72
2022-04-27	864529929.4799999
2022-04-28	854440843.2800001
2022-04-29	857952779.44
2022-04-30	831069416.56
2022-05-01	746819264.5200001
2022-05-02	863183038.4
2022-05-03	888281566.4
2022-05-04	899260531.52
2022-05-05	868490473.12
2022-05-06	846268680.8
2022-05-07	812318448.36
2022-05-08	750853963.32
2022-05-09	868768531.3199999
2022-05-10	869663480.28
2022-05-11	860764411.64
2022-05-12	868481512.6
2022-05-13	873743292.12
2022-05-14	845754539.84
2022-05-15	775345917.5600001
2022-05-16	870229573.36
2022-05-17	869695207.32
2022-05-18	865589595.1999999
2022-05-19	866288406.2
2022-05-20	874975926.2
2022-05-21	838228732.64
2022-05-22	777437998.36
